user_id,first_name,last_name,email,gpa
vdavi6,Vilma,Davila,vdavi6@uwaterloo.ca,77.7
aowen5,Addie,Owens,aowen5@uwaterloo.ca,72.5
sbran2,Sammy,Branch,sbran2@uwaterloo.ca,56.7
emyer2,Edwina,Myers,emyer2@uwaterloo.ca,83.2
cgome10,Chuck,Gomez,cgome10@uwaterloo.ca,75.5
kbail9,Karen,Bailey,kbail9@uwaterloo.ca,75.6
wcann2,Willie,Cannon,wcann2@uwaterloo.ca,93.6
eyang4,Elmo,Yang,eyang4@uwaterloo.ca,78.2
jwill8,Julius,Williams,jwill8@uwaterloo.ca,74
cburk3,Cheryl,Burke,cburk3@uwaterloo.ca,84.6
cfern9,Carrie,Fernandez,cfern9@uwaterloo.ca,69.6
gwhit2,Gordon,Whitney,gwhit2@uwaterloo.ca,60.8
fhatf7,Fanny,Hatfield,fhatf7@uwaterloo.ca,85.3
lgarr10,Leticia,Garrison,lgarr10@uwaterloo.ca,74.6
mnixo3,Marcie,Nixon,mnixo3@uwaterloo.ca,78.6
schen9,Scot,Chen,schen9@uwaterloo.ca,77.2
agree7,Abe,Greer,agree7@uwaterloo.ca,68.7
wproc8,Winnie,Proctor,wproc8@uwaterloo.ca,69.8
cluce8,Constance,Lucero,cluce8@uwaterloo.ca,67.4
amay10,Amalia,May,amay10@uwaterloo.ca,71.3
orosa5,Opal,Rosales,orosa5@uwaterloo.ca,92.5
bbenn4,Barbara,Bennett,bbenn4@uwaterloo.ca,106.1
ghold6,Greta,Holden,ghold6@uwaterloo.ca,75.3
jwhee10,Janice,Wheeler,jwhee10@uwaterloo.ca,60.4
ccolo1,Celia,Colon,ccolo1@uwaterloo.ca,83.3
dhint7,Daren,Hinton,dhint7@uwaterloo.ca,91.1
dritt8,Deena,Ritter,dritt8@uwaterloo.ca,75.6
jrubi6,Jannie,Rubio,jrubi6@uwaterloo.ca,96.7
mlevy6,Marjorie,Levy,mlevy6@uwaterloo.ca,74.1
dmcco3,Deidre,Mcconnell,dmcco3@uwaterloo.ca,81.1
dcamp9,Devon,Campos,dcamp9@uwaterloo.ca,62.5
tcomb10,Terrie,Combs,tcomb10@uwaterloo.ca,90.8
fsoli8,Foster,Solis,fsoli8@uwaterloo.ca,78.1
