first_name,last_name,student_id,email
Mae,Morton,mmort3,mmort3@uwaterloo.ca
Beverly,Spence,bspen7,bspen7@uwaterloo.ca
Rico,Bowen,rbowe9,rbowe9@uwaterloo.ca
Lucas,Klein,lklei6,lklei6@uwaterloo.ca
Wanda,English,wengl4,wengl4@uwaterloo.ca
Johnie,Nelson,jnels1,jnels1@uwaterloo.ca
Johnathon,Martin,jmart1,jmart1@uwaterloo.ca
Vern,Howard,vhowa6,vhowa6@uwaterloo.ca
Sarah,Underwood,sunde1,sunde1@uwaterloo.ca
Chris,Stevenson,cstev3,cstev3@uwaterloo.ca
Rashad,Barton,rbart6,rbart6@uwaterloo.ca
Kimberley,Obrien,kobri1,kobri1@uwaterloo.ca
Wes,Dougherty,wdoug6,wdoug6@uwaterloo.ca
Rosario,Knight,rknig7,rknig7@uwaterloo.ca
Philip,Anthony,panth3,panth3@uwaterloo.ca
Hannah,Coffey,hcoff10,hcoff10@uwaterloo.ca
Daisy,Savage,dsava3,dsava3@uwaterloo.ca
Ester,Hobbs,ehobb7,ehobb7@uwaterloo.ca
Elias,Robinson,erobi2,erobi2@uwaterloo.ca
Keneth,Figueroa,kfigu4,kfigu4@uwaterloo.ca
Amanda,Medina,amedi4,amedi4@uwaterloo.ca
Winston,Wilkerson,wwilk6,wwilk6@uwaterloo.ca
Daniel,Hurst,dhurs6,dhurs6@uwaterloo.ca
Alfonzo,Perez,apere3,apere3@uwaterloo.ca
Percy,Haynes,phayn1,phayn1@uwaterloo.ca
Vilma,Davila,vdavi6,vdavi6@uwaterloo.ca
Addie,Owens,aowen5,aowen5@uwaterloo.ca
Sammy,Branch,sbran2,sbran2@uwaterloo.ca
Edwina,Myers,emyer2,emyer2@uwaterloo.ca
Chuck,Gomez,cgome10,cgome10@uwaterloo.ca
Karen,Bailey,kbail9,kbail9@uwaterloo.ca
Willie,Cannon,wcann2,wcann2@uwaterloo.ca
Elmo,Yang,eyang4,eyang4@uwaterloo.ca
Julius,Williams,jwill8,jwill8@uwaterloo.ca
Cheryl,Burke,cburk3,cburk3@uwaterloo.ca
Carrie,Fernandez,cfern9,cfern9@uwaterloo.ca
Gordon,Whitney,gwhit2,gwhit2@uwaterloo.ca
Fanny,Hatfield,fhatf7,fhatf7@uwaterloo.ca
Leticia,Garrison,lgarr10,lgarr10@uwaterloo.ca
Marcie,Nixon,mnixo3,mnixo3@uwaterloo.ca
Scot,Chen,schen9,schen9@uwaterloo.ca
Abe,Greer,agree7,agree7@uwaterloo.ca
Winnie,Proctor,wproc8,wproc8@uwaterloo.ca
Constance,Lucero,cluce8,cluce8@uwaterloo.ca
Amalia,May,amay10,amay10@uwaterloo.ca
Opal,Rosales,orosa5,orosa5@uwaterloo.ca
Barbara,Bennett,bbenn4,bbenn4@uwaterloo.ca
Greta,Holden,ghold6,ghold6@uwaterloo.ca
Janice,Wheeler,jwhee10,jwhee10@uwaterloo.ca
Celia,Colon,ccolo1,ccolo1@uwaterloo.ca
Daren,Hinton,dhint7,dhint7@uwaterloo.ca
Deena,Ritter,dritt8,dritt8@uwaterloo.ca
Jannie,Rubio,jrubi6,jrubi6@uwaterloo.ca
Marjorie,Levy,mlevy6,mlevy6@uwaterloo.ca
Deidre,Mcconnell,dmcco3,dmcco3@uwaterloo.ca
Devon,Campos,dcamp9,dcamp9@uwaterloo.ca
Terrie,Combs,tcomb10,tcomb10@uwaterloo.ca
Foster,Solis,fsoli8,fsoli8@uwaterloo.ca
